iter	Passed	Remaining
239	1245	3945
240	1247	3929
241	1249	3914
242	1251	3898
243	1253	3883
244	1255	3868
245	1256	3852
246	1258	3837
247	1260	3821
248	1261	3805
249	1263	3790
250	1265	3775
251	1266	3760
252	1268	3745
253	1270	3730
254	1272	3717
255	1274	3703
256	1276	3689
257	1277	3674
258	1278	3658
259	1281	3646
260	1282	3631
261	1283	3615
262	1285	3602
263	1287	3588
264	1288	3573
265	1293	3569
266	1295	3556
267	1297	3542
268	1298	3528
269	1299	3513
270	1304	3509
271	1307	3498
272	1311	3493
273	1314	3484
274	1319	3479
275	1322	3468
276	1324	3456
277	1325	3443
278	1330	3437
279	1331	3425
280	1334	3414
281	1335	3401
282	1339	3392
283	1344	3388
284	1346	3378
285	1349	3368
286	1360	3379
287	1362	3368
288	1364	3356
289	1366	3346
290	1369	3336
291	1371	3325
292	1373	3314
293	1375	3302
294	1377	3292
295	1381	3286
296	1395	3303
297	1398	3294
298	1402	3287
299	1405	3280
300	1408	3272
301	1412	3264
302	1414	3253
303	1417	3245
304	1420	3235
305	1421	3224
306	1423	3212
307	1425	3203
308	1427	3193
309	1429	3182
310	1431	3171
311	1433	3161
312	1435	3150
313	1437	3140
314	1440	3131
315	1441	3120
316	1443	3109
317	1445	3099
318	1448	3092
319	1461	3106
320	1466	3101
321	1467	3089
322	1468	3078
323	1471	3070
324	1478	3070
325	1483	3066
326	1489	3065
327	1494	3062
328	1498	3056
329	1501	3048
330	1504	3041
331	1516	3050
332	1519	3043
333	1522	3036
334	1524	3025
335	1525	3014
336	1526	3004
337	1528	2992
338	1529	2981
339	1530	2970
340	1531	2960
341	1533	2949
342	1533	2938
343	1536	2930
344	1540	2924
345	1542	2914
346	1544	2905
347	1545	2895
348	1546	2884
349	1548	2876
350	1550	2867
351	1552	2858
352	1555	2850
353	1557	2841
354	1558	2831
355	1559	2821
356	1560	2811
357	1561	2801
358	1563	2791
359	1564	2781
360	1565	2771
361	1567	2763
362	1569	2754
363	1571	2745
364	1572	2736
365	1573	2726
366	1575	2717
367	1576	2708
368	1578	2699
369	1583	2695
370	1585	2687
371	1586	2678
372	1588	2669
373	1589	2660
374	1590	2651
375	1592	2642
376	1593	2632
377	1594	2623
378	1598	2619
379	1600	2611
380	1601	2601
381	1602	2592
382	1603	2583
383	1604	2574
384	1606	2565
385	1607	2556
386	1608	254391	1618	2509
392	1626	2512
393	1642	2526
394	1645	2519
395	1648	2514
396	1651	2508
397	1669	2525
398	1672	2519
399	1676	2515
400	1703	2545
401	1706	2538
402	1708	2531
403	1722	2540
404	1760	2586
405	1764	2581
406	1781	2595
407	1782	2586
408	1785	2580
409	1787	2572
410	1790	2566
411	1810	2583
412	1838	2612
413	1841	2606
414	1842	2597
415	1844	2588
416	1845	2580
417	1846	2571
418	1849	2563
419	1851	2557
420	1854	2550
421	1857	2543
422	1858	2535
423	1859	2526
